Date,Realized Variance (1-min)
2009-11-02,28.928033819833605
2009-11-03,24.952844324364747
2009-11-04,25.97223686368289
2009-11-05,17.79442959359461
2009-11-06,21.135975354483396
2009-11-09,13.235034499020584
2009-11-10,14.55058042711067
2009-11-11,16.084413081226963
2009-11-12,18.36997190921234
2009-11-13,15.667541616380756
2009-11-16,14.964917673277464
2009-11-17,14.103811353726602
2009-11-18,15.060832818943956
2009-11-19,16.463335638951808
2009-11-20,14.114742699803992
2009-11-23,13.16120856924729
2009-11-24,15.678067736952114
2009-11-25,13.614815180299317
2009-11-26,16.58569879472058
2009-11-27,21.861628377589216
2009-11-30,21.14649533559476
2009-12-01,15.478814736575492
2009-12-02,16.155325383505375
2009-12-03,16.3340688845659
2009-12-04,23.000686858673376
2009-12-07,15.226475331706691
2009-12-08,18.58751903569169
2009-12-09,18.924323725190526
2009-12-10,16.204420904620292
2009-12-11,13.848333347237604
2009-12-14,11.544410388477083
2009-12-15,11.660416236881533
2009-12-16,12.519677899418177
2009-12-17,14.282785585941598
2009-12-18,13.307596462526265
2009-12-21,11.888427087708468
2009-12-22,12.338597748208299
2009-12-23,10.583098017832231
2009-12-24,6.624572943487142
2009-12-28,8.975966838794488
2009-12-29,8.634407598193718
2009-12-30,11.2057584158174
2009-12-31,8.228733930284363
2010-01-04,10.700240170812696
2010-01-05,10.043151220616235
2010-01-06,10.64835206837696
2010-01-07,12.384464032867628
2010-01-08,11.946245980937798
2010-01-11,11.123436256143524
2010-01-12,13.548858335449426
2010-01-13,12.588667690728087
2010-01-14,11.971239781093455
2010-01-15,14.023125025738596
2010-01-18,7.076955595681836
2010-01-19,13.094178828266193
2010-01-20,15.118469255511602
2010-01-21,22.669711652936115
2010-01-22,21.846544490504694
2010-01-25,20.09949677319211
2010-01-26,19.222114325406935
2010-01-27,23.78654459017949
2010-01-28,24.262949765917174
2010-01-29,24.635586972846905
2010-02-01,16.776220035413843
2010-02-02,16.040954370459207
2010-02-03,16.85541769352059
2010-02-04,20.7582179337119
2010-02-05,30.9931443786023
2010-02-08,20.90105965626037
2010-02-09,25.217876931867572
2010-02-10,22.913017324267145
2010-02-11,21.819120940152377
2010-02-12,21.516704296899412
2010-02-15,9.136282725087735
2010-02-16,13.995498925180511
2010-02-17,14.204590252925978
2010-02-18,18.7756773815517
2010-02-19,13.47410461325596
2010-02-22,13.048145823343779
2010-02-23,17.27385325655723
2010-02-24,15.922189764507866
2010-02-25,18.81184046731948
2010-02-26,16.37014226116163
2010-03-01,12.536690890205826
2010-03-02,12.507259934967339
2010-03-03,12.406841040469697
2010-03-04,12.06822648082055
2010-03-05,10.842510385151662
2010-03-08,10.240265962974721
2010-03-09,11.486499704257202
2010-03-10,14.921702951899157
2010-03-11,12.873723448709038
2010-03-12,11.452135670088378
2010-03-15,10.793611808950411
2010-03-16,11.441608197631439
2010-03-17,10.286609582126847
2010-03-18,10.338508363118999
2010-03-19,10.790619440625965
2010-03-22,11.500219319812594
2010-03-23,11.428201226939004
2010-03-24,13.535682544759906
2010-03-25,13.289214896707916
2010-03-26,13.416886356530503
2010-03-29,10.928895343621033
2010-03-30,10.709053242224854
2010-03-31,12.21428746076799
2010-04-01,10.878305437366564
2010-04-02,6.528586832523861
2010-04-05,9.447811376449197
2010-04-06,9.350563562967418
2010-04-07,12.014028609718915
2010-04-08,11.029359278120678
2010-04-09,9.583086151637335
2010-04-12,10.189319558699184
2010-04-13,10.45609192233813
2010-04-14,8.766907501184559
2010-04-15,9.887627146771413
2010-04-16,17.9792932311406
2010-04-19,15.82784054717566
2010-04-20,12.312802249728751
2010-04-21,12.333864753893934
2010-04-22,16.049559401589754
2010-04-23,13.339699584454264
2010-04-26,11.781173326365108
2010-04-27,18.70664677794043
2010-04-28,20.425517272470913
2010-04-29,14.176095578787226
2010-04-30,17.216645595041214
2010-05-03,13.560671377181333
2010-05-04,20.963050823318312
2010-05-05,23.378268196884868
2010-05-06,69.92140506748909
2010-05-07,54.70224727769926
2010-05-10,28.85003792094954
2010-05-11,25.849568068616012
2010-05-12,21.125471211422596
2010-05-13,20.287388372663674
2010-05-14,27.261225176495017
2010-05-17,27.944656493544162
2010-05-18,27.951970064071585
2010-05-19,33.37970605547891
2010-05-20,41.0194971201811
2010-05-21,39.66176813099626
2010-05-24,28.999343799818416
2010-05-25,37.26254057834347
2010-05-26,31.612992399308297
2010-05-27,26.626256052978764
2010-05-28,27.368191248682315
2010-05-31,13.699898494435025
2010-06-01,28.04648539270393
2010-06-02,23.686537998449523
2010-06-03,22.371639033335295
2010-06-04,31.49026492980998
2010-06-07,25.944421575455497
2010-06-08,29.909168460294644
2010-06-09,25.91007544660669
2010-06-10,23.93234801075226
2010-06-11,21.043296081216763
2010-06-14,20.158136912237705
2010-06-15,18.755749802784955
2010-06-16,18.581881053748653
2010-06-17,19.905488547334407
2010-06-18,15.125305628693864
2010-06-21,20.078338200646762
2010-06-22,21.70764417355641
2010-06-23,22.86074128864195
2010-06-24,23.366731024609166
2010-06-25,23.05219857260188
2010-06-28,20.000323680961625
2010-06-29,27.399632077497436
2010-06-30,27.20545819766629
2010-07-01,29.20031764163719
2010-07-02,25.86334339743827
2010-07-05,13.614768493969297
2010-07-06,21.98806688578529
2010-07-07,20.80667173754024
2010-07-08,19.84192792684263
2010-07-09,15.68742604929503
2010-07-12,16.547818676258412
2010-07-13,19.526533084851128
2010-07-14,18.876313154943404
2010-07-15,21.350334318140256
2010-07-16,20.88320500404232
2010-07-19,19.202477447858527
2010-07-20,22.423098381030773
2010-07-21,21.54064837007801
2010-07-22,20.188312846451783
2010-07-23,22.256062996069932
2010-07-26,15.648248279122873
2010-07-27,17.8125286540239
2010-07-28,17.10842878425258
2010-07-29,20.099670051012993
2010-07-30,20.88469265778304
2010-08-02,14.17217242954665
2010-08-03,14.79094771123553
2010-08-04,16.030143106443813
2010-08-05,13.497865696803684
2010-08-06,20.537408266076973
2010-08-09,12.31535325682122
2010-08-10,19.862533724926237
2010-08-11,19.340527459419317
2010-08-12,19.583567021457128
2010-08-13,17.87405234918649
2010-08-16,19.14448956987777
2010-08-17,14.991434869400027
2010-08-18,17.76846164725442
2010-08-19,21.871254746724205
2010-08-20,17.565477425093032
2010-08-23,17.521960899660424
2010-08-24,20.889923922054006
2010-08-25,21.280192349830696
2010-08-26,20.56401472500471
2010-08-27,22.57787786033895
2010-08-30,17.377069872984837
2010-08-31,22.999052491564427
2010-09-01,18.01933229545157
2010-09-02,14.367143535813984
2010-09-03,17.656552560260632
2010-09-06,8.185876804960614
2010-09-07,15.411035598936326
2010-09-08,17.344581424493555
2010-09-09,18.52553732259976
2010-09-10,12.837198823430008
2010-09-13,12.732342184964255
2010-09-14,15.725193752197205
2010-09-15,14.793889915260486
2010-09-16,15.040407440501994
2010-09-17,14.050747110216557
2010-09-20,13.258021376937485
2010-09-21,17.685253033913106
2010-09-22,16.55219490986426
2010-09-23,16.74550943906227
2010-09-24,14.474307350406171
2010-09-27,13.722836164838242
2010-09-28,18.689727317769083
2010-09-29,16.07697808544512
2010-09-30,20.42501902340401
2010-10-01,17.77651614756857
2010-10-04,17.02322441153226
2010-10-05,14.30152170770186
2010-10-06,13.708528067134104
2010-10-07,14.584547499790018
2010-10-08,19.172007462266716
2010-10-11,11.33757347142758
2010-10-12,15.245472592239103
2010-10-13,13.183556506283967
2010-10-14,14.895869052172953
2010-10-15,18.01146950691193
2010-10-18,15.006920410715532
2010-10-19,21.228264519635623
2010-10-20,16.73487753305497
2010-10-21,16.508192861938046
2010-10-22,11.989501284228925
2010-10-25,14.34908517688732
2010-10-26,13.007172423902812
2010-10-27,14.895598354125077
2010-10-28,14.884804303950947
2010-10-29,13.20737797414683
2010-11-01,14.020633737846225
2010-11-02,12.79575834189581
2010-11-03,20.353289743598147
2010-11-04,11.225383242010464
2010-11-05,13.039469510308358
2010-11-08,11.835037013150211
2010-11-09,12.995234486781944
2010-11-10,15.585876185153868
2010-11-11,16.052057914191074
2010-11-12,18.51949628145519
2010-11-15,14.416170347647887
2010-11-16,18.518460118798004
2010-11-17,15.778202770643423
2010-11-18,12.828709537371289
2010-11-19,12.677682359681574
2010-11-22,14.487078748520998
2010-11-23,18.292551209874794
2010-11-24,15.26524309425567
2010-11-25,8.646315649209315
2010-11-26,14.589987431386625
2010-11-29,18.30859718918136
2010-11-30,18.93521296092372
2010-12-01,14.596429056971857
2010-12-02,14.764559928165488
2010-12-03,15.912702288311722
2010-12-06,12.776584427187318
2010-12-07,14.613175603049594
2010-12-08,13.104202696849862
2010-12-09,14.171606782746352
2010-12-10,10.519204900493673
2010-12-13,9.853962195545561
2010-12-14,11.415594057060504
2010-12-15,12.569757584493004
2010-12-16,11.294576256139646
2010-12-17,8.713152344311187
2010-12-20,10.28398543905319
2010-12-21,8.057781697144543
2010-12-22,7.1903205423912295
2010-12-23,6.6215599133673475
2010-12-27,7.781197807550202
2010-12-28,6.702987715231426
2010-12-29,6.226376646513417
2010-12-30,6.977889146665357
2010-12-31,7.62798760681434
2011-01-03,8.613070504594157
2011-01-04,10.059566686583096
2011-01-05,11.540437436817879
2011-01-06,9.93438496796453
2011-01-07,14.454325218955145
2011-01-10,12.327992708906015
2011-01-11,10.478761638696229
2011-01-12,9.516796869882734
2011-01-13,10.745425683590163
2011-01-14,11.042603060831985
2011-01-17,6.994859585979356
2011-01-18,9.846793339440236
2011-01-19,11.50171609446098
2011-01-20,14.184289925019245
2011-01-21,10.34721747548748
2011-01-24,11.631175363629728
2011-01-25,13.456537054562492
2011-01-26,11.63597284414957
2011-01-27,12.668858311862067
2011-01-28,16.180919004812967
2011-01-31,13.572022325131227
2011-02-01,11.183489343346217
2011-02-02,10.378421370605478
2011-02-03,11.223096499209438
2011-02-04,10.737926585590472
2011-02-07,9.704329071516565
2011-02-08,9.816035984507913
2011-02-09,9.839897068465737
2011-02-10,13.888340707405872
2011-02-11,11.185017120286066
2011-02-14,9.074564063764111
2011-02-15,10.10269183344613
2011-02-16,10.775380334876756
2011-02-17,9.10057236847299
2011-02-18,7.741311119502836
2011-02-21,8.023491289228556
2011-02-22,15.483648812456261
2011-02-23,15.727881124595978
2011-02-24,18.69191824125633
2011-02-25,10.523713028470482
2011-02-28,11.404515799004818
2011-03-01,16.771181996469757
2011-03-02,16.562260651010632
2011-03-03,13.293355246147499
2011-03-04,15.156516272982676
2011-03-07,17.104686706203292
2011-03-08,15.494470455617492
2011-03-09,18.11428592041943
2011-03-10,19.463946669164407
2011-03-11,20.023440818266717
2011-03-14,22.655563296403052
2011-03-15,30.343958572090045
2011-03-16,33.76730112066042
2011-03-17,25.842419626946693
2011-03-18,16.76164717105585
2011-03-21,13.440894900239222
2011-03-22,13.299042794753518
2011-03-23,16.356945932222793
2011-03-24,16.868021322113496
2011-03-25,11.167102907349213
2011-03-28,12.173538520478775
2011-03-29,12.25200841121964
2011-03-30,11.313967922178314
2011-03-31,11.210020050228255
2011-04-01,10.780615959387884
2011-04-04,10.81040632974168
2011-04-05,11.444390371236011
2011-04-06,10.912313148008275
2011-04-07,14.086989090220847
